id,text,created_at,retweet_count,favorite_count,source,length,user_id,user_screen_name,user_name,user_created_at,user_description,user_followers_count,user_friends_count,user_location,user_statuses_count,user_verified,user_url,number_of_QuestionMarks,user_has_url?,label,score
1253540146705657856,"“But The world will not and can not go back to the way things are, there must be a “new normal” 😶😶 https://t.co/Kv7htvw1O9",2020-04-24 04:23:55,0,0,Twitter for iPhone,122,44313421,alifafaza,Cut Alifa Faza,2009-06-03 07:12:45,,740,284,nomaden,17837,False,,,No,NEGATIVE,0.9800755977630615
1253540142989656064,"@HemantSorenJMM @jharkhand181 Respected CM sir, Dr. Said eat non veg. For increasing immunity system for fight agai… https://t.co/7halHiir7K",2020-04-24 04:23:54,0,0,Twitter for Android,140,1238649209324093440,Alam007Intakhab,Intakhab_Alam007,2020-03-14 02:13:15,Think globally act locally.,10,64,,82,False,,,No,NEGATIVE,0.8626061677932739
1253540140980375553,"@ChouhanShivraj  @narendramodi @drharshvardhan  I have urged you multiple times, this could be a solution to this c… https://t.co/0EsmT8F7Ke",2020-04-24 04:23:53,0,0,Twitter for Android,140,4349653959,MayankJ1990,Mayank Jain,2015-12-02 10:44:29,,9,39,,162,False,,,No,NEGATIVE,0.9865105748176575
1253540140422660096,"If you could sacrifice one country to finish corona virus ,which one would it be and why india ?",2020-04-24 04:23:53,0,0,Twitter for Android,96,4499048783,sinan_meer,sinnaan,2015-12-16 04:07:23,"Indeed with hardship,will be ease",68,64,kashmir,85,False,,,No,NEGATIVE,0.9951127171516418
1253540137033588736,Success Stories of Corona Survivors: 93-year-old man becomes the oldest Indian to beat COVID-19. #IndiaFightsCorona… https://t.co/HqHuhvuuWN,2020-04-24 04:23:52,0,0,Twitter for Android,140,941013921443364864,GowdaManjulaB,@manjula Gowda bjp 🇮🇳🇮🇳,2017-12-13 18:36:16,"#Koi Road Par Na Nikle':.....🚩#फिर मुस्कुराएगा इंडिया......😀
 #फिर जीत जाएगा इंडिया......🚩",269,298,India,1988,False,,,No,POSITIVE,0.9111255407333374
1253540133699112960,"@JaneCaro So the door... to the classroom... opens a wormhole, in the space time continuum and teachers, SLSO’s and… https://t.co/bvjzCrysRY",2020-04-24 04:23:52,0,0,Twitter for iPhone,140,21712743,ozifrog,ozifrog,2009-02-24 00:35:29,"Aussie chick, writer, reader, lecturer, boxer, singer, bad ass mum.",37,173,,409,False,https://t.co/3g9bUVZV83,,Yes,POSITIVE,0.6831135749816895
1253540131014762496,"Koshys Group of Institutions Nursing Department, conducted an Interactive online session for students.

#India… https://t.co/AlGNemfzNS",2020-04-24 04:23:51,0,0,Twitter Web App,135,704928816196689924,KGIBangalore,KOSHYS GROUP OF INSTITUTIONS,2016-03-02 07:18:21,"Koshys Group of Institutions is one of the premier institutes for Management, IT & Health science located in Bangalore, India. #lifeatkgi",28,45,"Bengaluru, India",266,False,https://t.co/N0zbhknna6,,Yes,POSITIVE,0.9140900373458862
1253540130494853120,"Salute to front line corona warriors...
#IndiaFightsCorona https://t.co/Y2aFM6hpfb",2020-04-24 04:23:51,0,0,Twitter for Android,82,991985796277329920,harish_nss,HARISH NSS 🇮🇳,2018-05-03 10:20:18,"Social Activist, Writer & Poet, Governer Awardee, Deligates China and Bhutan, NSS National(IG) awardee ministry of youth affairs & sports Govt. of India.",88,303,Delhi NCR,363,False,,,No,NEGATIVE,0.823183536529541
1253540128464744454,Shit like this is why I don’t miss a corona briefing https://t.co/SGY04Ftk40,2020-04-24 04:23:50,0,0,Twitter for iPhone,76,457082051,jason_runion,jason runion,2012-01-07 00:43:46,Born tired IG- jason_Runion,293,262,Cincinnati,6777,False,,,No,POSITIVE,0.5790210366249084
1253540125172269058,Have yourself a few shots of disinfectant and you won’t care about anyone’s grades. You won’t even care if you got… https://t.co/ILCij9cus7,2020-04-24 04:23:50,0,0,Twitter for iPhone,139,855558623434596352,DraneBerisha1,Drane Berisha,2017-04-21 23:07:26,I'm a Daughter a Mom of a loving Son a Sister a proud Aunt. Love my Family and Friends. Love my work. I pray for non toxic medicine for all illnesses&ailments.,117,233,,2323,False,,,No,NEGATIVE,0.999478280544281
1253540124656312320,Let these aliens be mandatorily be tested in their countries and not dare venture into Uganda if not certified coro… https://t.co/1oPXaoIr4t,2020-04-24 04:23:50,0,0,Twitter for Android,140,357438946,martin_male,Martin Male,2011-08-18 11:07:46,A results' oriented project design and implementation specialist with proven ability to manage integrated resource intensive projects. Opinions shared are mine.,87,170,"Kampala, Uganda",523,False,,,No,NEGATIVE,0.9702482223510742
1253540121216978944,"China wants to rule the world by spreading corona , Read full news
#corona
#coronavirus
#china
#india
#poor
#world… https://t.co/0Eb05hJo7Z",2020-04-24 04:23:49,0,0,WordPress.com,139,1056164854879391744,Tezzbuzz1,Tezzbuzz,2018-10-27 12:44:58,"Tezzbuzz website is a website where you have all the information, what is going on around you. You will find them all on one platform.",36,5,Delhi,2703,False,,,No,NEGATIVE,0.99446702003479
1253540112669048832,@real_defender @realDonaldTrump Go ahead inject bleach and let us know if trump was right about it being a cure to corona virus,2020-04-24 04:23:47,0,0,Twitter for iPhone,127,864484951,creditedpuppet,Chris reynolds,2012-10-06 10:34:13,,2,9,,86,False,,,No,NEGATIVE,0.9906222224235535
1253540108671741952,I'm going to fuck the corona virus .. https://t.co/uc2PldDLp4,2020-04-24 04:23:46,0,0,Twitter for Android,61,709507514,Antivillainy,ネルダ,2012-07-21 20:11:56,| I don't believe in anything |,338,370,I'm a bum,9926,False,https://t.co/W5UE4Hrfuv,,Yes,NEGATIVE,0.9986103773117065
1253540107765919744,"#Japan #Nagasaki #Coronavirus

Among the crew members of a cruise ship in the repair dock in Japan, a further 43 pe… https://t.co/8ujYx36tQt",2020-04-24 04:23:45,0,0,Twitter for Android,140,1107367240154955777,Xy5Z89,Xy5Z89🇩🇪🇪🇺,2019-03-17 19:44:58,"A german 🇩🇪 , pro Europe 🇪🇺 and love for 🇮🇱. Against Racism and Antisemitisem. And reporting most quakes above 5.0 share news about all and actual Covid19",923,388,"Deutschland, EU ",35322,False,,,No,NEGATIVE,0.9930353760719299
1253540105480015872,"The president hinted at injecting Lysol to cure corona, JJ Redick mocked it, a rando said “who is this”? And a resp… https://t.co/p7n8I65KW5",2020-04-24 04:23:45,0,0,Twitter Web App,140,1132998066276065280,PhdDfs,"Justin B, PhD",2019-05-27 13:12:43,"I have a PhD in finance. I’ve also worked “real” investment jobs. I hate reductionist thinking, echo chambers, and willful ignorance. I like numbers and sports.",101,45,,1903,False,,,No,NEGATIVE,0.996039867401123
1253540104242696192,Trump got all the nigga remedies for corona EXCEPT a national lockdown😂,2020-04-24 04:23:45,0,0,Twitter for iPhone,71,797843669122449408,lilnumber4,Broke & Jiggy🧞,2016-11-13 16:48:48,Dont try to eat with me now if you couldn't starve with me then - KYLE,84,138,,666,False,https://t.co/pxxP36PBbS,,Yes,NEGATIVE,0.6547670364379883
1253540096374177793,MKU has taken a bold step to incorporate @TV47KE in their e learning programme. With corona e learning is becoming… https://t.co/IsAp26QV7V,2020-04-24 04:23:43,0,0,Twitter for Android,139,840790671019630592,martin_kimundia,MARTIN KIMUNDIA(032 MCA),2017-03-12 05:04:51,Fearless Mt kenya young politician!!!MCA NJORO 2022 and strong supporter of kikuyuism!!!,71,133,,87,False,,,No,POSITIVE,0.8239302635192871
1253540095476580353,"#God forgive us though we continue to sin.
#Whether manmade virus or not, it will never happened without the will o… https://t.co/wr2ooratkY",2020-04-24 04:23:43,0,0,Twitter for Android,140,2611736144,YakubuHalidu,Halidu Yakubu 🇬🇭,2014-07-08 14:09:42,Your decision determine your future.,136,197,Accra/Ghana,24551,False,,,No,POSITIVE,0.8473550081253052
1253540092603318272,@PawarSpeaks sir please ask Awhad saheb to shoftvin goverment Hospital for corona treatment . All citizens should b… https://t.co/yvsudhUyKP,2020-04-24 04:23:42,0,0,Twitter for iPhone,140,4239644668,JeetTraining,Jeet,2015-11-21 04:32:21,,77,53,,1572,False,,,No,NEGATIVE,0.9867820739746094
1253540087570198531,"@ACSCANSD Dear Friends, our immune system is very important because it helps us fight back diseases and I hope we c… https://t.co/hbqX1WBdXR",2020-04-24 04:23:41,0,0,Twitter for Android,140,996065541260427264,TOnggowasito,Tino Onggowasito,2018-05-14 16:31:45,Getting health in mind & body by pursuing love. 💖,83,86,"Jakarta Capital Region, Indone",6522,False,https://t.co/jNOFn2101r,,Yes,POSITIVE,0.9981679916381836
1253540086291009536,All liberals who are against should sign a document stating that should they get the corona virus they will not be… https://t.co/qNb8IZyif8,2020-04-24 04:23:40,0,0,Twitter for iPhone,139,1389446737,jmarker1612,❌ LIFE IS GREAT ❌,2013-04-29 12:51:41,"A great believer that the Clintons are responsible for the four deaths in Benghazi, and the recent Seth Rich murder #MAGA #PATRIOT #CONSERVATIVE",11508,11657,,14738,False,,,No,NEGATIVE,0.9955534338951111
1253540083724099587,Having corona genuinely hits you with a massive fucking reality check. It’s just setting in for me rn how possibly fucked I could be.,2020-04-24 04:23:40,0,0,Twitter for iPhone,133,824409341713383424,ggwen6936,gwen - longest offseason ever,2017-01-26 00:11:18,"Arsenal, Atletico, Boston Sports ——— @section10pod is the way to my heart ———Official Ossee Schreckongost fan account",212,777,"Bloomfield, NJ",4008,False,,,No,NEGATIVE,0.8789060711860657
1253540081371152384,"Since it’s corona pandemic , I’ll help people win, I’m going to be make a series of videos to show people how to Ge… https://t.co/hOdgosXuCy",2020-04-24 04:23:39,0,0,Twitter for iPhone,140,87890905,donnykonz,donny konz,2009-11-06 07:36:31,Rapper| video gamer|Known as Donny Konz Worked with major signed artist/ directors @sirthebaptist @famousdex @hireztherapper @cammeekins @_taylorbennett @empire,22903,9197,"Chicago, IL",21778,False,https://t.co/W3l7qB3kf4,,Yes,NEGATIVE,0.5204742550849915
1253540080154640385,Ramadan is the holiest month for Muslims from tomorrow. May Allah's mercy be showered on this month. I hope this mo… https://t.co/pLFJPMfKy5,2020-04-24 04:23:39,0,0,Twitter Web App,140,1252797180202479617,ShoaibFoyez,Shoaib Ahmed Foyez,2020-04-22 03:11:50,I’ve learned I don’t know anything.  Have also learned that people will pay for what I know.  Life is good.,2,0,,3,False,,,No,POSITIVE,0.5087313055992126
1253540077873094658,"@IngrahamAngle You looked better than I have ever seen you today, day 38 of Corona. Your hair looked awesome. Keep it that way!!",2020-04-24 04:23:38,0,0,Twitter for Android,128,54326522,MichaelPool,Michael Pool,2009-07-06 20:43:34,,7,108,,389,False,,,No,POSITIVE,0.9998207688331604
1253540075012571136,@catahoulasrule @POTUS Heat and solar energy kills corona....,2020-04-24 04:23:38,0,0,Twitter for iPhone,61,1214763357527576576,MichaelBroman1,Michael Broman,2020-01-08 04:19:02,Proud Patriot and US Marine Retired Federal Law Enforcement DOJ FBOP proud TRUMP supporter! I’ll follow back all Patriots! no DMs not here to date I’m married!,390,511,"Alexandria, LA",1355,False,,,No,NEGATIVE,0.9993224143981934
